ITEM,QTY1,PRC1,QTY2,PRC2,QTY3,PRC3,QTY4,PRC4,QTY5,PRC5,QTY6,PRC6,,,PRICECODE
ATS,300,1.05,500,1.02,1000,0.99,2500,0.88,5000,0.85,10000,0.76,,,AAABBC
ATT,50,7.72,250,7.66,500,7.6,,,,,,,,,AAA
BCCBG,300,1.19,500,1.17,1000,1.15,2500,1.13,5000,1.11,10000,1.01,,,BBBBBC
BCRBG,300,1.74,500,1.72,1000,1.7,2500,1.68,5000,1.66,10000,1.51,,,BBBBBC
BLG,300,1.02,500,1,1000,0.98,2500,0.96,5000,0.87,,,,,BBBBC
BLGP3,100,3.66,250,3.59,500,3.52,1000,3.5,2500,3.18,,,,,BBBBC
BLGP5,100,5.72,250,5.6,500,5.5,1000,5.45,2500,4.95,,,,,BBBBC
BLGXL,300,1.15,500,1.13,1000,1.11,2500,1.09,5000,0.99,,,,,BBBBC
BLR,300,1.65,500,1.63,1000,1.61,2500,1.59,5000,1.56,,,,,AAAAA
BPCC,500,0.39,1000,0.38,2500,0.37,5000,0.33,10000,0.32,,,,,AAABB
BPS,500,0.31,1000,0.3,2500,0.29,5000,0.25,10000,0.24,,,,,AAABB
B3,100,3.81,500,3.71,1000,3.61,,,,,,,,,CCC
B4A6A150,250,4.73,500,4.42,1000,4.17,2500,3.64,,,,,,,BBBC
B4A6A150ECO,250,5.2,500,4.86,1000,4.59,2500,3.99,,,,,,,BBBC
CFT,25,14.26,50,14.16,100,14.06,,,,,,,,,AAA
CIT,100,2.37,250,2.35,500,2.32,1000,2.28,2500,2.25,,,,,CCCCC
CITCL,100,2.63,250,2.6,500,2.58,1000,2.54,2500,2.51,,,,,CCCCC
CL,300,1.08,500,1.04,1000,1.02,2500,0.92,5000,0.89,10000,0.81,,,AAABBC
CLCL,300,1.3,500,1.27,1000,1.23,2500,1.21,5000,1.19,10000,1.08,,,BBBBBC
CLCLG,300,1.3,500,1.27,1000,1.23,2500,1.21,5000,1.19,10000,1.08,,,BBBBBC
CLG,300,1.2,500,1.17,1000,1.14,2500,1.11,5000,1.09,10000,0.98,,,BBBBBC
CS,300,0.73,500,0.71,1000,0.69,2500,0.62,5000,0.6,10000,0.54,,,AAABBC
CSCG,300,1.04,500,1.02,1000,1,2500,0.9,5000,0.88,10000,0.8,,,AAABBC
CSECO,300,0.81,500,0.79,1000,0.77,2500,0.69,5000,0.67,10000,0.61,,,AAABBC
CSI,300,0.88,500,0.86,1000,0.84,2500,0.76,5000,0.74,10000,0.67,,,AAABBC
CSIG,300,1.15,500,1.13,1000,1.11,2500,0.99,5000,0.97,10000,0.88,,,AAABBC
CSM,300,0.84,500,0.82,1000,0.79,2500,0.71,5000,0.69,10000,0.62,,,AAABBC
CSPADECO1,500,1.68,1000,1.49,2500,1.42,,,,,,,,,BCC
CSPADECO2,500,2.09,1000,1.85,2500,1.77,,,,,,,,,BCC
CSPADECO3,500,2.02,1000,1.73,2500,1.66,,,,,,,,,BCC
CSPADECO4,500,2.67,1000,2.34,2500,2.24,,,,,,,,,BCC
CSPADECO5,500,2.12,1000,1.86,2500,1.79,,,,,,,,,BCC
CSPADECO6,500,2.89,1000,2.58,2500,2.49,,,,,,,,,BCC
CSPAD1,500,1.56,1000,1.38,2500,1.32,,,,,,,,,BCC
CSPAD2,500,1.93,1000,1.71,2500,1.63,,,,,,,,,BCC
CSPAD3,500,1.85,1000,1.59,2500,1.53,,,,,,,,,BCC
CSPAD4,500,2.45,1000,2.15,2500,2.07,,,,,,,,,BCC
CSPAD5,500,1.95,1000,1.71,2500,1.65,,,,,,,,,BCC
CSPAD6,500,2.66,1000,2.37,2500,2.3,,,,,,,,,BCC
CSR,300,0.89,500,0.87,1000,0.85,2500,0.76,5000,0.74,10000,0.66,,,AAABBC
CSRI,300,0.97,500,0.95,1000,0.93,2500,0.83,5000,0.81,10000,0.73,,,AAABBC
CSWB,300,1.17,500,1.15,1000,1.13,2500,1.01,5000,0.99,10000,0.9,,,AAABBC
CSWBCG,300,1.26,500,1.24,1000,1.21,2500,1.19,5000,1.17,10000,1.05,,,BBBBBC
CSWBCLG,300,1.3,500,1.28,1000,1.25,2500,1.23,5000,1.21,10000,1.1,,,BBBBBC
CSWBDG,300,1.26,500,1.24,1000,1.21,2500,1.19,5000,1.17,10000,1.05,,,BBBBBC
CSWBECO,300,1.28,500,1.26,1000,1.23,2500,1.11,5000,1.09,10000,0.98,,,AAABBC
CSWBG,300,1.26,500,1.24,1000,1.21,2500,1.19,5000,1.17,10000,1.05,,,BBBBBC
CSWBIG,300,1.3,500,1.28,1000,1.25,2500,1.23,5000,1.21,10000,1.1,,,BBBBBC
CSWBMES,300,1.69,500,1.67,1000,1.65,2500,1.62,5000,1.6,10000,1.45,,,BBBBBC
CSWBMESB,300,1.76,500,1.73,1000,1.71,2500,1.69,5000,1.67,10000,1.52,,,BBBBBC
CSWBMG,300,1.69,500,1.67,1000,1.65,2500,1.62,5000,1.6,10000,1.45,,,BBBBBC
CSWBPADECO1,500,2.1,1000,1.88,2500,1.81,,,,,,,,,BCC
CSWBPADECO2,500,2.51,1000,2.24,2500,2.16,,,,,,,,,BCC
CSWBPADECO3,500,2.44,1000,2.12,2500,2.05,,,,,,,,,BCC
CSWBPADECO4,500,3.09,1000,2.72,2500,2.63,,,,,,,,,BCC
CSWBPADECO5,500,2.54,1000,2.25,2500,2.18,,,,,,,,,BCC
CSWBPADECO6,500,3.31,1000,2.96,2500,2.88,,,,,,,,,BCC
CSWBPAD1,500,1.96,1000,1.74,2500,1.68,,,,,,,,,BCC
CSWBPAD2,500,2.33,1000,2.07,2500,1.99,,,,,,,,,BCC
CSWBPAD3,500,2.25,1000,1.94,2500,1.89,,,,,,,,,BCC
CSWBPAD4,500,2.85,1000,2.5,2500,2.43,,,,,,,,,BCC
CSWBPAD5,500,2.35,1000,2.06,2500,2.01,,,,,,,,,BCC
CSWBPAD6,500,3.06,1000,2.73,2500,2.66,,,,,,,,,BCC
DCCSCG,300,1.26,500,1.24,1000,1.22,2500,1.1,5000,1.08,10000,0.98,,,AAABBC
DCMCG,300,1.2,500,1.18,1000,1.15,2500,1.07,5000,1.05,10000,0.99,,,AAAAAA
DCPMRM,300,1.1,500,1.08,1000,1.06,2500,0.95,5000,0.93,10000,0.84,,,AAABBC
DCWBCG,300,1.41,500,1.38,1000,1.35,2500,1.33,5000,1.31,10000,1.19,,,BBBBBC
DCWBDG,300,1.41,500,1.38,1000,1.35,2500,1.33,5000,1.31,10000,1.19,,,BBBBBC
DCWBMES,300,1.89,500,1.86,1000,1.83,2500,1.8,5000,1.78,10000,1.62,,,BBBBBC
DCWBMG,300,1.79,500,1.77,1000,1.75,2500,1.73,5000,1.71,10000,1.56,,,BBBBBC
DTWBGPAD1,500,2.28,1000,2.04,2500,1.97,,,,,,,,,BCC
DTWBGPAD2,500,2.65,1000,2.37,2500,2.28,,,,,,,,,BCC
DTWBGPAD3,500,2.44,1000,2.13,2500,2.05,,,,,,,,,BCC
DTWBGPAD4,500,2.91,1000,2.55,2500,2.49,,,,,,,,,BCC
ESTB,50,6.47,250,6.37,500,6.27,,,,,,,,,AAA
GR,300,1.27,500,1.24,1000,1.2,2500,1.18,5000,1.16,10000,1.05,,,BBBBBC
GRG,300,1.41,500,1.38,1000,1.35,2500,1.33,5000,1.31,10000,1.19,,,BBBBBC
GRPAD1,500,2.13,1000,1.9,2500,1.83,,,,,,,,,BCC
GRPAD2,500,2.5,1000,2.23,2500,2.14,,,,,,,,,BCC
GRPAD3,500,2.42,1000,2.1,2500,2.04,,,,,,,,,BCC
GRPAD4,500,3.02,1000,2.66,2500,2.58,,,,,,,,,BCC
GRPAD5,500,2.52,1000,2.22,2500,2.16,,,,,,,,,BCC
GRPAD6,500,3.23,1000,2.89,2500,2.81,,,,,,,,,BCC
G3,50,6.34,250,6.24,500,6.14,,,,,,,,,AAA
ICLGEL,150,2.22,300,2.18,500,2.14,1000,2.09,2500,2.04,5000,2,,,CCCCCC
J23,200,1.6,400,1.58,600,1.56,1000,1.55,2400,1.4,,,,,BBBBC
J25,200,1.51,400,1.49,600,1.47,1000,1.46,2400,1.32,,,,,BBBBC
J38,200,2.61,400,2.59,600,2.56,1000,2.55,2400,2.33,,,,,BBBBC
LB,25,11.99,50,11.89,100,11.79,,,,,,,,,AAA
LR,25,12.1,50,12,100,11.9,,,,,,,,,AAA
LTR,200,1.7,400,1.68,600,1.66,1000,1.65,2400,1.5,,,,,BBBBC
LYB,1,176,5,146,,,,,,,,,,,BC
LYF,1,332,5,268,,,,,,,,,,,BC
LYR,1,220,5,183,,,,,,,,,,,BC
MC,300,0.75,500,0.72,1000,0.7,2500,0.62,5000,0.59,10000,0.53,,,AAAAAA
MCG,300,1.01,500,0.99,1000,0.97,2500,0.88,5000,0.86,10000,0.79,,,AAAAAA
MCI,300,0.8,500,0.78,1000,0.76,2500,0.67,5000,0.65,10000,0.58,,,AAAAAA
MCIG,300,1.09,500,1.07,1000,1.05,2500,0.96,5000,0.94,10000,0.87,,,AAAAAA
MCPAD1,500,1.57,1000,1.33,2500,1.26,,,,,,,,,BCC
MCPAD2,500,1.94,1000,1.66,2500,1.57,,,,,,,,,BCC
MCPAD3,500,1.86,1000,1.53,2500,1.47,,,,,,,,,BCC
MCPAD4,500,2.46,1000,2.09,2500,2.01,,,,,,,,,BCC
MCPAD5,500,1.96,1000,1.65,2500,1.59,,,,,,,,,BCC
MCPAD6,500,2.67,1000,2.32,2500,2.24,,,,,,,,,BCC
MFB,100,3.28,250,2.96,500,2.68,1000,2.12,2500,1.78,,,,,BBBCC
MFPB,100,4.17,250,4.01,500,3.82,1000,3.21,2500,2.88,,,,,BBBCC
MFPBCSM,100,5.02,250,4.88,500,4.72,1000,4.19,2500,4.06,,,,,BBBCC
MFPBMM,100,5.25,250,5.1,500,4.93,1000,4.36,2500,4.17,,,,,BBBCC
MGBCCH,250,1.31,500,1.18,1000,1.15,2500,1.12,5000,1.06,,,,,CCCCC
MGBCCL,250,0.96,500,0.91,1000,0.84,2500,0.77,5000,0.72,,,,,CCCCC
MGBCNP,250,1.24,500,1.18,1000,1.09,2500,1.04,5000,0.99,,,,,CCCCC
MGBC20,500,0.36,1000,0.28,2500,0.24,5000,0.21,,,,,,,ABCC
MGBC30,500,0.42,1000,0.32,2500,0.28,5000,0.24,,,,,,,ABCC
MGCARM,250,2.17,500,2.05,1000,1.93,2500,1.88,5000,1.85,,,,,CCCCC
MGCARS,500,1.61,1000,1.4,2500,1.27,5000,1.23,,,,,,,CCCC
MGCLL20,250,0.81,500,0.62,1000,0.56,2500,0.45,5000,0.41,,,,,ABBCC
MGCLL30,250,0.95,500,0.75,1000,0.68,2500,0.57,5000,0.53,,,,,ABBCC
MGCLXL20,250,1.26,500,1.05,1000,0.99,2500,0.88,5000,0.84,,,,,ABBCC
MGCLXL30,250,1.45,500,1.25,1000,1.18,2500,1.02,5000,0.99,,,,,ABBCC
MGCS20-10,500,0.63,1000,0.57,2500,0.47,5000,0.44,,,,,,,BBCC
MGCS20-12,500,0.66,1000,0.6,2500,0.5,5000,0.47,,,,,,,BBCC
MGCS20-14,500,0.71,1000,0.63,2500,0.54,5000,0.5,,,,,,,BBCC
MGCS20-16,500,0.87,1000,0.79,2500,0.7,5000,0.66,,,,,,,BBCC
MGCS20-18,500,1.01,1000,0.96,2500,0.85,5000,0.8,,,,,,,BBCC
MGCS20-2,500,0.45,1000,0.37,2500,0.3,5000,0.27,,,,,,,BBCC
MGCS20-4,500,0.5,1000,0.42,2500,0.34,5000,0.31,,,,,,,BBCC
MGCS20-6,500,0.57,1000,0.5,2500,0.41,5000,0.38,,,,,,,BBCC
MGCS20-8,500,0.6,1000,0.54,2500,0.45,5000,0.41,,,,,,,BBCC
MGCS30-10,500,0.74,1000,0.66,2500,0.56,5000,0.53,,,,,,,BBCC
MGCS30-12,500,0.8,1000,0.73,2500,0.61,5000,0.58,,,,,,,BBCC
MGCS30-14,500,0.82,1000,0.75,2500,0.64,5000,0.61,,,,,,,BBCC
MGCS30-16,500,0.93,1000,0.87,2500,0.75,5000,0.72,,,,,,,BBCC
MGCS30-18,500,1.13,1000,1.08,2500,0.97,5000,0.93,,,,,,,BBCC
MGCS30-2,500,0.52,1000,0.44,2500,0.36,5000,0.33,,,,,,,BBCC
MGCS30-4,500,0.58,1000,0.5,2500,0.41,5000,0.38,,,,,,,BBCC
MGCS30-6,500,0.66,1000,0.6,2500,0.5,5000,0.47,,,,,,,BBCC
MGCS30-8,500,0.69,1000,0.63,2500,0.54,5000,0.5,,,,,,,BBCC
MGDEM1,250,1.88,500,1.81,1000,1.76,2500,1.67,5000,1.59,,,,,CCCCC
MGDEM2,250,2.52,500,2.43,1000,2.36,2500,2.25,5000,2.14,,,,,CCCCC
MGDE1,250,0.76,500,0.72,1000,0.68,2500,0.62,5000,0.59,,,,,CCCCC
MGDE2,250,1.36,500,1.31,1000,1.26,2500,1.21,5000,1.15,,,,,CCCCC
MGEBC,500,0.24,1000,0.21,2500,0.19,5000,0.16,,,,,,,ABCC
MGECOM,500,0.82,1000,0.78,2500,0.65,5000,0.61,,,,,,,CCCC
MGECOS,250,0.71,500,0.61,1000,0.5,2500,0.4,,,,,,,CCCC
MGFM,250,2.28,500,1.91,1000,1.52,2500,1.31,5000,1.23,,,,,BBCCC
MGJBC20,500,0.69,1000,0.49,2500,0.37,5000,0.3,,,,,,,ABCC
MGJBC30,500,0.75,1000,0.56,2500,0.42,5000,0.35,,,,,,,ABCC
MGMA,250,1.89,500,1.49,1000,1.25,2500,1.19,5000,1.12,,,,,BBCCC
MGMM,250,2.55,500,1.94,1000,1.46,2500,1.23,5000,1.18,,,,,BBCCC
MGSCH20,250,1.26,500,1.05,1000,0.99,2500,0.88,5000,0.84,,,,,ABBCC
MGSCH30,250,1.45,500,1.25,1000,1.18,2500,1.02,5000,0.99,,,,,ABBCC
MGSE20,100,1.31,250,0.76,500,0.55,1000,0.44,2500,0.39,,,,,ABBCC
MGSE30,100,1.41,250,0.85,500,0.64,1000,0.54,2500,0.49,,,,,ABBCC
MGSPFL20,250,1.59,500,1.43,1000,1.21,2500,1.02,5000,0.98,,,,,AABCC
MGSPFL30,250,1.73,500,1.59,1000,1.36,2500,1.14,5000,1.09,,,,,AABCC
MGSPFM20,250,1.25,500,1.16,1000,0.97,2500,0.81,5000,0.77,,,,,AABCC
MGSPFM30,250,1.48,500,1.32,1000,1.12,2500,0.94,5000,0.91,,,,,AABCC
MGSPFS20,250,0.9,500,0.73,1000,0.56,2500,0.41,5000,0.37,,,,,AABCC
MGSPFS30,250,0.98,500,0.83,1000,0.63,2500,0.49,5000,0.45,,,,,AABCC
MGSSCL,250,1.06,500,1.01,1000,0.96,2500,0.89,5000,0.82,,,,,CCCCC
MGSSL20,250,0.81,500,0.62,1000,0.56,2500,0.45,5000,0.41,,,,,ABBCC
MGSSL30,250,0.95,500,0.75,1000,0.67,2500,0.56,5000,0.53,,,,,ABBCC
MGSSM20,500,0.6,1000,0.48,2500,0.39,5000,0.36,,,,,,,ABCC
MGSSM30,500,0.71,1000,0.59,2500,0.49,5000,0.46,,,,,,,ABCC
MGSSNP,250,1.33,500,1.28,1000,1.22,2500,1.15,5000,1.09,,,,,CCCCC
MGSSS20,500,0.47,1000,0.36,2500,0.29,5000,0.26,,,,,,,ABCC
MGSSS30,500,0.55,1000,0.42,2500,0.35,5000,0.32,,,,,,,ABCC
MGSSXL20,250,1.26,500,1.05,1000,0.99,2500,0.88,5000,0.84,,,,,ABBCC
MGSSXL30,250,1.45,500,1.25,1000,1.18,2500,1.02,5000,0.99,,,,,ABBCC
MMAX,300,1.2,500,1.18,1000,1.16,2500,1.1,5000,1.08,10000,0.98,,,BBBBBC
MPC1A,100,3.33,250,3.33,500,3.33,1000,3.33,,,,,,,BBBB
MPC1B,100,3.97,250,3.97,500,3.97,1000,3.97,,,,,,,BBBB
MPC1C,100,3.15,250,3.15,500,3.15,1000,3.15,,,,,,,BBBB
MPC2A,100,3.61,250,3.61,500,3.61,1000,3.61,,,,,,,BBBB
MPC2B,100,4.16,250,4.16,500,4.16,1000,4.16,,,,,,,BBBB
MPC2C,100,3.28,250,3.28,500,3.28,1000,3.28,,,,,,,BBBB
MPC3A,100,3.28,250,3.28,500,3.28,1000,3.28,,,,,,,BBBB
MPC3B,100,3.88,250,3.88,500,3.88,1000,3.88,,,,,,,BBBB
MPC3C,100,3.08,250,3.08,500,3.08,1000,3.08,,,,,,,BBBB
MPFRC1A,100,4.34,250,4.34,500,4.34,1000,4.34,,,,,,,BBBB
MPFRC1B,100,4.83,250,4.83,500,4.83,1000,4.83,,,,,,,BBBB
MPFRC1C,100,4.06,250,4.06,500,4.06,1000,4.06,,,,,,,BBBB
MPFRC2A,100,4.62,250,4.62,500,4.62,1000,4.62,,,,,,,BBBB
MPFRC2B,100,5.35,250,5.35,500,5.35,1000,5.35,,,,,,,BBBB
MPFRC2C,100,4.27,250,4.27,500,4.27,1000,4.27,,,,,,,BBBB
MPFRC3A,100,3.98,250,3.98,500,3.98,1000,3.98,,,,,,,BBBB
MPFRC3B,100,4.42,250,4.42,500,4.42,1000,4.42,,,,,,,BBBB
MPFRC3C,100,3.45,250,3.45,500,3.45,1000,3.45,,,,,,,BBBB
MPFRSH2A,100,4.58,250,4.58,500,4.58,1000,4.58,,,,,,,BBBB
MPFRSH2B,100,5.3,250,5.3,500,5.3,1000,5.3,,,,,,,BBBB
MPFRSH2C,100,4.23,250,4.23,500,4.23,1000,4.23,,,,,,,BBBB
MPFR1A,100,4.3,250,4.3,500,4.3,1000,4.3,,,,,,,BBBB
MPFR1B,100,4.79,250,4.79,500,4.79,1000,4.79,,,,,,,BBBB
MPFR1C,100,4.01,250,4.01,500,4.01,1000,4.01,,,,,,,BBBB
MPFR2A,100,4.58,250,4.58,500,4.58,1000,4.58,,,,,,,BBBB
MPFR2B,100,5.3,250,5.3,500,5.3,1000,5.3,,,,,,,BBBB
MPFR2C,100,4.23,250,4.23,500,4.23,1000,4.23,,,,,,,BBBB
MPFR3A,100,3.93,250,3.93,500,3.93,1000,3.93,,,,,,,BBBB
MPFR3B,100,4.37,250,4.37,500,4.37,1000,4.37,,,,,,,BBBB
MPFR3C,100,3.41,250,3.41,500,3.41,1000,3.41,,,,,,,BBBB
MPFR6A,100,3.93,250,3.93,500,3.93,1000,3.93,,,,,,,BBBB
MPFR6B,100,4.37,250,4.37,500,4.37,1000,4.37,,,,,,,BBBB
MPFR6C,100,3.41,250,3.41,500,3.41,1000,3.41,,,,,,,BBBB
MPFR7A,100,3.57,250,3.57,500,3.57,1000,3.57,,,,,,,BBBB
MPFR7B,100,4.11,250,4.11,500,4.11,1000,4.11,,,,,,,BBBB
MPFR7C,100,3.14,250,3.14,500,3.14,1000,3.14,,,,,,,BBBB
MPLTR,50,6.17,250,6.07,500,5.96,,,,,,,,,BBB
MPP25ECO,200,3.14,500,3.14,1000,3.14,,,,,,,,,BBB
MPSHUT,100,2.99,250,2.99,500,2.99,1000,2.99,,,,,,,BBBB
MPSH2A,100,3.54,250,3.54,500,3.54,1000,3.54,,,,,,,BBBB
MPSH2B,100,4.1,250,4.1,500,4.1,1000,4.1,,,,,,,BBBB
MPSH2C,100,3.23,250,3.23,500,3.23,1000,3.23,,,,,,,BBBB
MPUT1,100,2.87,250,2.87,500,2.87,1000,2.87,,,,,,,BBBB
MPUT2,100,2.99,250,2.99,500,2.99,1000,2.99,,,,,,,BBBB
MPUT3,100,2.52,250,2.52,500,2.52,1000,2.52,,,,,,,BBBB
MPUT6,100,2.52,250,2.52,500,2.52,1000,2.52,,,,,,,BBBB
MPUT7,100,2.3,250,2.3,500,2.3,1000,2.3,,,,,,,BBBB
MP1A,100,3.28,250,3.28,500,3.28,1000,3.28,,,,,,,BBBB
MP1B,100,3.9,250,3.9,500,3.9,1000,3.9,,,,,,,BBBB
MP1C,100,3.12,250,3.12,500,3.12,1000,3.12,,,,,,,BBBB
MP2A,100,3.54,250,3.54,500,3.54,1000,3.54,,,,,,,BBBB
MP2B,100,4.1,250,4.1,500,4.1,1000,4.1,,,,,,,BBBB
MP2C,100,3.23,250,3.23,500,3.23,1000,3.23,,,,,,,BBBB
MP3A,100,3.23,250,3.23,500,3.23,1000,3.23,,,,,,,BBBB
MP3B,100,3.8,250,3.8,500,3.8,1000,3.8,,,,,,,BBBB
